sample,cellVolumePercentA,SP_F_15mL,Voltage_F_15mL,voltageDrop_F_15mL,sample,cellVolumePercentB,SP_G_15mL,Voltage_G_15mL,voltageDrop_G_15mL,sample,SP_Eflask_25mL,Voltage_Eflask_25mL,,SP_Aflask_125mL,Voltage_Aflask_125mL,sample,SP_B_100mL,Voltage_B_100mL,sample,SP_Eflask_500mL,Voltage_Eflask_500mL,SP_G_3tape,Voltage_G_3tape,dilutedSP_G_3tape
1,100,N/A,0.0388,3.2452,1,100,N/A,0.0344,3.2606,1,0.00001,3.189,1,1.835,0.03,1,0.0001,2.164,1,0.719,0.027,0.00001,3.031,0.00001
1,100,N/A,0.0397,3.2443,1,100,N/A,0.0387,3.2563,1,0.00001,3.19,1,1.833,0.03,1,0.0001,2.165,1,0.715,0.026,0.00001,3.027,0.00001
1,100,N/A,0.0392,3.2448,1,100,N/A,0.0388,3.2562,1,0.00001,3.26,1,1.833,0.03,2,0.119,1.012,1,0.713,0.027,0.00001,3.023,0.00001
1,100,N/A,0.0396,3.2444,1,100,N/A,0.0386,3.2564,1,0.00001,3.25,2,1.388,0.046,2,0.117,1.007,1,0.712,0.026,0.00001,3.024,0.00001
1,100,N/A,0.0406,3.2434,1,100,N/A,0.0386,3.2564,2,0.019,3.237,2,1.382,0.045,2,0.116,1.01,2,0.411,0.047,0.00001,3.033,0.00001
2,50,2.965,0.0512,3.2328,2,50,2.989,0.045,3.25,2,0.019,3.239,2,1.381,0.046,2,0.117333333,1.009,2,0.41,0.046,0.023,2.895,0.023
2,50,2.972,0.0509,3.2331,2,50,2.978,0.0462,3.2488,2,0.034,3.23,3,1.177,0.056,2,0.117333333,1.008,2,0.41,0.047,0.023,2.899,0.023
2,50,2.96,0.0509,3.2331,2,50,2.972,0.0435,3.2515,2,0.034,3.231,3,1.191,0.056,3,0.203,0.667,2,0.410333333,0.048,0.022,2.897,0.022
2,50,2.964,0.0502,3.2338,2,50,2.975,0.0459,3.2491,3,0.132,2.503,3,1.194,0.057,3,0.203,0.697,3,0.238,0.094,0.023,2.898,0.023
2,50,2.979,0.0512,3.2328,2,50,2.979,0.0448,3.2502,3,0.129,2.505,3,1.194,0.056,3,0.203,0.681,3,0.237,0.091,0.023,2.899,0.023
3,25,2.516,0.0931,3.1909,3,25,2.513,0.0845,3.2105,3,0.129,2.506,4,0.698,0.144,3,0.203,0.666,3,0.236,0.089,0.081,2.738,0.081
3,25,2.515,0.0916,3.1924,3,25,2.516,0.0848,3.2102,3,0.129,2.503,4,0.7,0.147,4,0.299,0.453,3,0.237,0.089,0.08,2.738,0.08
3,25,2.509,0.0897,3.1943,3,25,2.521,0.0857,3.2093,4,0.135,2.538,4,0.7,0.146,4,0.299,0.431,4,0.182,0.135,0.08,2.739,0.08
3,25,2.509,0.0874,3.1966,3,25,2.509,0.0878,3.2072,4,0.136,2.529,5,0.526,0.237,4,0.299,0.444,4,0.182,0.136,0.08,2.742,0.08
3,25,2.514,0.0897,3.1943,3,25,2.515,0.0871,3.2079,4,0.134,2.531,5,0.523,0.24,4,0.299,0.447,4,0.182,0.138,0.08,2.741,0.08
4,12.5,2.061,0.2356,3.0484,4,12.5,2.138,0.1896,3.1054,4,0.132,2.53,5,0.521,0.238,5,0.469,0.204,4,0.182,0.14,0.146,2.443,0.146
4,12.5,2.059,0.2308,3.0532,4,12.5,2.141,0.1892,3.1058,4,0.13425,2.53,5,0.514,0.24,5,0.47,0.205,4,0.182,0.141,0.146,2.444,0.146
4,12.5,2.058,0.232,3.052,4,12.5,2.139,0.1905,3.1045,5,0.122,2.709,6,0.313,0.475,5,0.469,0.209,5,0.087,0.302,0.145,2.445,0.145
4,12.5,2.055,0.2225,3.0615,4,12.5,2.14,0.1905,3.1045,5,0.122,2.709,6,0.314,0.475,5,0.469333333,0.206,5,0.089,0.298,0.145,2.444,0.145
4,12.5,2.057,0.2256,3.0584,4,12.5,2.142,0.1894,3.1056,5,0.121,2.705,6,0.316,0.476,6,0.647,0.125,5,0.088,0.303,0.1455,2.444,0.1455
5,6.25,1.56,0.5502,2.7338,5,6.25,1.712,0.473,2.822,5,0.121666667,2.711,7,0.181,0.848,6,0.648,0.127,5,0.088,0.3,0.1455,2.445,0.1455
5,6.25,1.559,0.5588,2.7252,5,6.25,1.718,0.478,2.817,6,0.086,3.154,7,0.182,0.85,6,0.649,0.126,5,0.088,0.303,1.062,0.667,1.5
5,6.25,1.56,0.5593,2.7247,5,6.25,1.721,0.489,2.806,6,0.084,3.151,7,0.184,0.847,6,0.648,0.127,5,0.12,0.206,1.068,0.668,1.6
5,6.25,1.561,0.5514,2.7326,5,6.25,1.721,0.487,2.808,6,0.084,3.15,8,0.117,1.223,6,0.648,0.129,5,0.12,0.206,1.068,0.667,1.6
5,6.25,1.561,0.5529,2.7311,5,6.25,1.721,0.488,2.807,6,0.084666667,3.149,8,0.117,1.222,7,0.707,0.105,5,0.121,0.206,1.07,0.669,1.566666667
6,3.125,1.072,1.29,1.994,6,3.125,1.199,1.215,2.08,7,0.126,2.661,8,0.117,1.221,7,0.706,0.103,6,0.052,0.42,1.067,0.709,1.566666667
6,3.125,1.07,1.217,2.067,6,3.125,1.203,1.181,2.114,7,0.123,2.662,8,0.117,1.22,7,0.707,0.102,6,0.052,0.419,1.067,0.671,1.566666667
6,3.125,1.066,1.218,2.066,6,3.125,1.203,1.214,2.081,7,0.123,2.659,9,0.07,1.586,8,0.837,0.073,6,0.052,0.424,0.616,1.253,0.9
6,3.125,1.063,1.191,2.093,6,3.125,1.205,1.206,2.089,7,0.122,2.659,9,0.071,1.577,8,0.834,0.072,6,0.052,0.423,0.619,1.254,0.9
6,3.125,1.062,1.202,2.082,6,3.125,1.205,1.208,2.087,8,0.206,1.797,9,0.071,1.581,8,0.836,0.075,6,0.052,0.42,0.616,1.254,0.9
7,1.5625,0.62,2.395,0.889,7,1.5625,0.745,2.557,0.738,8,0.205,1.8,9,0.071,1.585,8,0.835,0.072,7,0.002,0.786,0.617,1.255,0.9
7,1.5625,0.632,2.356,0.928,7,1.5625,0.748,2.548,0.747,8,0.205,1.803,10,0.045,1.835,9,1.557,0.022,7,0.002,0.785,0.617,1.255,0.9
7,1.5625,0.633,2.351,0.933,7,1.5625,0.747,2.569,0.726,8,0.205333333,1.804,10,0.045,1.837,9,1.535,0.022,7,0.002,0.786,0.617,1.258,0.9
7,1.5625,0.633,2.426,0.858,7,1.5625,0.748,2.566,0.729,8,0.205333333,1.804,10,0.045,1.834,9,1.544,0.022,7,0.001,0.786,0.355,1.818,0.2
7,1.5625,0.633,2.356,0.928,7,1.5625,0.748,2.553,0.742,9,0.315,1.096,10,0.045,1.839,9,1.538,0.023,,,,0.356,1.817,0.2
8,0.78125,0.342,3.223,0.061,8,0.78125,0.479,3.258,0.037,9,0.316,1.114,11,0,2.355,9,1.5435,0.022,,,0.78575,0.357,1.816,0.5
8,0.78125,0.344,3.199,0.085,8,0.78125,0.489,3.258,0.037,9,0.315,1.093,11,0,2.352,10,0.092,1.248,,,,0.357,1.817,0.5
8,0.78125,0.345,3.22,0.064,8,0.78125,0.502,3.254,0.041,9,0.315333333,1.095,11,0,2.354,10,0.091,1.241,,,,0.35625,1.818,0.5
8,0.78125,0.346,3.219,0.065,8,0.78125,0.506,3.255,0.04,10,0.384,0.793,,,,10,0.091,1.244,,,,0.227,2.25,0.227
8,0.78125,0.347,3.219,0.065,8,0.78125,0.522,3.255,0.04,10,0.392,0.795,,,,10,0.091333333,1.247,,,,0.227,2.244,0.227
9,0.390625,0.183,3.259,0.025,9,0.390625,N/A,N/A,N/A,10,0.379,0.799,,,,11,0.054,1.485,,,,0.228,2.241,0.228
9,0.390625,0.182,3.222,0.062,9,0.390625,N/A,N/A,N/A,10,0.378,0.799,,,,11,0.054,1.48,,,,0.228,2.239,0.228
9,0.390625,0.182,3.26,0.024,9,0.390625,N/A,N/A,N/A,10,0.38325,0.803,,,,11,0.054,1.482,,,,0.2275,2.236,0.2275
9,0.390625,0.182,3.244,0.04,9,0.390625,N/A,N/A,N/A,11,0.474,0.552,,,,11,0.054,1.484,,,,0.778,0.927,1.1
9,0.390625,0.182,3.216,0.068,9,0.390625,N/A,N/A,N/A,11,0.483,0.546,,,,11,0.054,1.48,,,,0.779,0.992,1.1
10,0.1953125,0.101,3.269,0.015,10,0.1953125,N/A,N/A,N/A,11,0.485,0.541,,,,,,,,,,0.778,1.032,1.1
10,0.1953125,0.101,3.272,0.012,10,0.1953125,N/A,N/A,N/A,11,0.485,0.542,,,,,,2.1645,,,,0.776,1.03,1.1
10,0.1953125,0.102,3.269,0.015,10,0.1953125,N/A,N/A,N/A,12,0.646,0.325,,,,,,,,,,0.77775,1.029,1.1
10,0.1953125,0.102,3.273,0.011,10,0.1953125,N/A,N/A,N/A,12,0.648,0.333,,,,,,,,,,1.688,0.28,3
10,0.1953125,0.102,3.27,0.014,10,0.1953125,N/A,N/A,N/A,12,0.648,0.332,,,,,,,,,,1.694,0.279,3
11,0.00001,0.001,3.286,-0.002,11,0.00001,0.001,3.295,0.0001,12,0.647333333,0.325,,,,,,,,,,1.691,0.28,3.1
11,0.00001,0.00001,3.287,-0.003,11,0.00001,0.0001,3.296,-0.001,12,0.647333333,0.322,,,,,,,,,,1.68,0.28,3.033333333
11,0.00001,0.00001,3.282,0.002,11,0.00001,0.0001,3.295,0.0001,13,0.974,0.147,,,,,,,,,,1.68825,0.28,3.033333333
11,0.00001,0.00001,3.286,-0.002,11,0.00001,0.0001,3.296,-0.001,13,0.975,0.148,,,,,,,,,,1.68825,0.281,3.033333333
11,0.00001,0.00001,3.279,0.005,11,0.00001,0.0001,3.295,0.0001,13,0.975,0.148,,,,,,,,,,2.355,0.076,7.7
12,,0.427,2.756,0.528,12,,,,,13,0.974666667,0.152,,,,,,,,,,2.356,0.076,7.5
12,,0.423,2.748,0.536,12,,,,,13,0.974666667,0.151,,,,,,,,,,2.355,0.076,7.6
12,,0.421,2.75,0.534,12,,,,,14,1.213,0.097,,,,,,,,,,2.356,0.076,7.6
12,,0.422,2.747,0.537,12,,,,,14,1.204,0.099,,,,,,,,,,2.3555,0.076,7.6
12,,0.422,2.761,0.523,12,,,,,14,1.202,0.1,,,,,,,,,,,,
,,,,,12,,,,,14,1.202,0.098,,,,,,,,,,,,
,,,,,12,,,,,15,1.502,0.055,,,,,,,,,,,,
,,,3.284,,12,,,,,15,1.505,0.055,,,,,,,,,,,,
,,,3.2954,,12,,,,,15,1.506,0.056,,,,,,,,,,,,
,,,1.833666667,,12,,,,,15,1.504333333,0.057,,,,,,,,,,,,
,,,2.353666667,,12,,,,,16,1.835,0.033,,,,,,,,,,,,
,,,2.1645,,12,,,,,16,1.833,0.033,,,,,,,,,,,,
,,,0.78575,,12,,,,,16,1.833,0.033,,,,,,,,,,,,
,,,,,,,,,,16,1.833666667,0.034,,2.353666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.833666667,,,,,,,,,,,,,